time_s,brake_pct,throttle_pct,speed_kph,drs,x_m,y_m
0.0,2.855890008252404,66.22045179281126,250.7571776096717,0,200.0,0.0
0.05,0.0,67.82982135168187,249.10579956047653,0,199.98903387310241,2.0942419883356957
0.1,2.671252837169775,68.92410526142751,246.71480028923224,0,199.9561366949691,4.187565372919963
0.15000000000000002,3.0070902163026942,66.64338533321703,247.14231359131912,0,199.90131207314633,6.279051952931337
0.2,3.4966305629207235,62.74608060779824,245.76629048189423,0,199.82456601977168,8.367784333231548
0.25,2.385195073418466,75.50258603242449,244.6609916105102,0,199.72590695091478,10.452846326765346
0.30000000000000004,0.0,78.87856995953435,253.3051873662844,0,199.6053456856543,12.533323356430426
0.35000000000000003,0.0,69.33485477695693,251.92623994376424,0,199.46289544489161,14.608302856241162
0.4,0.2526361242647664,71.1204746894735,248.31620666050628,0,199.29857184990087,16.676874671610225
0.45,0.0,73.38334829815241,250.21660374402808,0,199.112392920616,18.738131458572465
0.5,4.825730393268886,83.01507694743901,242.49101578680265,0,198.90437907365467,20.791169081775934
0.55,3.304925247711919,68.30785912731757,245.89027641776894,0,198.67455312007928,22.835087011065575
0.6000000000000001,3.905114886492994,82.4938581300414,240.46064695449664,0,198.42294026289557,24.86898871648548
0.65,2.063770416268396,76.31489632748486,244.72231177419022,0,198.14956809428872,26.89198206152657
0.7000000000000001,0.04434414643510978,78.64485620474397,244.62425753232026,0,197.85446659259767,28.90317969444716
0.75,5.432940127734463,75.91725074383392,246.6453654055019,0,197.53766811902756,30.901699437494738
0.8,0.4194004689784179,82.72408521285011,248.9125774041083,0,197.199207414101,32.88666467385832
0.8500000000000001,0.0,82.94893692467632,241.57930634843763,0,196.83912159384838,34.85720473218152
0.9,2.2454313785193514,83.13818914539223,247.6361172391897,0,196.45745014573774,36.8124552684678
0.9500000000000001,3.6134630591708534,83.29243977840102,246.79170693460347,0,196.05423492434437,38.7515586452103
1.0,0.0,80.72478448640456,246.78155882949,0,195.62952014676114,40.67366430758002
1.05,0.0,76.33949649830825,241.15562508778373,0,195.1833523877495,42.57792915650727
1.1,3.9762000156327844,77.10002326142268,238.58891035602605,0,194.71578057463205,44.46351791849275
1.1500000000000001,2.990317252857724,86.2605291705236,244.3231371294936,0,194.2268559819272,46.32960351198617
1.2000000000000002,0.20499753621326172,91.41496276018495,244.7199554883615,0,193.71663222572622,48.17536741017153
1.25,1.1332755961723668,83.23903306971583,241.66829138307702,0,193.18516525781365,49.99999999999999
1.3,0.0,79.16340009871693,245.2003748429094,0,192.63251335953163,51.80270093731302
1.35,0.561706646153775,77.21960446438744,247.06508882676658,0,192.0587371353886,53.58267949789967
1.4000000000000001,6.730934360251764,83.16073529855142,235.1900685299061,0,191.46389950641344,55.33915492433441
1.4500000000000002,1.998987126523645,78.24631865291724,240.76070200570763,0,190.84806570325537,57.071356768443174
1.5,1.5251163845117026,80.89419213833327,237.04390219343028,0,190.2113032590307,58.778525229247315
1.55,3.943816724989299,85.30828041935322,238.95290818090396,0,189.55368200191714,60.45991148623748
1.6,0.0,79.27026629427111,245.0616107704616,0,188.87527404749622,62.11477802783103
1.6500000000000001,0.0,75.34019121959298,238.94425965441863,0,188.1761537908451,63.74239897486896
